time;Va;Vb;Vc;ia;ib;ic;id;iq;Te;theta_r;omega_r;iq_ref;duty_a;duty_b;duty_c
0.000320;0.000610;19.524048;-19.524654;0.000015;1.413890;-1.413905;-0.000021;1.594533;0.244894;-0.000003;-0.013476;5.327662;0.500008;0.662703;0.337297
0.000330;0.000641;19.340969;-19.341606;0.000016;1.446370;-1.446386;-0.000022;1.632628;0.250520;-0.000003;-0.013600;5.329911;0.500008;0.661177;0.338823
0.000340;0.000664;19.160789;-19.161457;0.000018;1.478346;-1.478363;-0.000024;1.670133;0.256059;-0.000003;-0.013709;5.332132;0.500008;0.659676;0.340324
0.000350;0.000694;18.983452;-18.984150;0.000019;1.509827;-1.509846;-0.000025;1.707057;0.261511;-0.000003;-0.013806;5.334326;0.500009;0.658198;0.341802
0.000360;0.000725;18.808918;-18.809639;0.000020;1.540821;-1.540841;-0.000026;1.743409;0.266880;-0.000003;-0.013888;5.336492;0.500009;0.656744;0.343256
0.000370;0.000751;18.637127;-18.637886;0.000022;1.571335;-1.571356;-0.000028;1.779198;0.272165;-0.000004;-0.013958;5.338632;0.500009;0.655313;0.344687
0.000380;0.000782;18.468067;-18.468838;0.000023;1.601376;-1.601399;-0.000030;1.814434;0.277369;-0.000004;-0.014014;5.340745;0.500010;0.653904;0.346096
0.000390;0.000801;18.301662;-18.302479;0.000025;1.630953;-1.630978;-0.000031;1.849123;0.282491;-0.000004;-0.014058;5.342832;0.500010;0.652517;0.347483
0.000400;0.000839;18.137901;-18.138729;0.000026;1.660072;-1.660098;-0.000033;1.883276;0.287535;-0.000004;-0.014089;5.344893;0.500010;0.651153;0.348847
0.000410;0.000866;17.976723;-17.977577;0.000028;1.688741;-1.688768;-0.000034;1.916901;0.292501;-0.000004;-0.014108;5.346929;0.500011;0.649810;0.350190
0.000420;0.000893;17.818081;-17.818977;0.000030;1.716966;-1.716995;-0.000036;1.950006;0.297390;-0.000004;-0.014115;5.348941;0.500011;0.648488;0.351512
0.000430;0.000916;17.661957;-17.662868;0.000031;1.744755;-1.744786;-0.000038;1.982599;0.302203;-0.000004;-0.014109;5.350928;0.500011;0.647187;0.352813
0.000440;0.000946;17.508297;-17.509235;0.000033;1.772114;-1.772147;-0.000039;2.014687;0.306942;-0.000005;-0.014092;5.352891;0.500012;0.645906;0.354094
0.000450;0.000969;17.357059;-17.358032;0.000035;1.799050;-1.799085;-0.000041;2.046280;0.311608;-0.000005;-0.014063;5.354830;0.500012;0.644646;0.355354
0.000460;0.000996;17.208218;-17.209217;0.000037;1.825571;-1.825607;-0.000043;2.077384;0.316201;-0.000005;-0.014022;5.356746;0.500012;0.643406;0.356594
0.000470;0.001022;17.061741;-17.062756;0.000038;1.851681;-1.851719;-0.000044;2.108008;0.320724;-0.000005;-0.013970;5.358639;0.500013;0.642185;0.357815
0.000480;0.001049;16.917568;-16.918610;0.000040;1.877388;-1.877428;-0.000046;2.138159;0.325177;-0.000005;-0.013907;5.360509;0.500013;0.640984;0.359016
0.000490;0.001072;16.775669;-16.776745;0.000042;1.902698;-1.902740;-0.000048;2.167844;0.329561;-0.000005;-0.013833;5.362357;0.500013;0.639802;0.360198
0.000500;0.001095;16.636017;-16.637119;0.000044;1.927618;-1.927662;-0.000049;2.197071;0.333877;-0.000005;-0.013748;5.364183;0.500014;0.638638;0.361362
0.000510;0.001122;16.498577;-16.499702;0.000046;1.952152;-1.952198;-0.000051;2.225847;0.338127;-0.000005;-0.013653;5.365988;0.500014;0.637493;0.362507
0.000520;0.001148;16.363323;-16.364456;0.000049;1.976308;-1.976357;-0.000053;2.254178;0.342311;-0.000006;-0.013547;5.367771;0.500014;0.636366;0.363634
0.000530;0.001167;16.230190;-16.231361;0.000051;2.000092;-2.000142;-0.000054;2.282072;0.346430;-0.000006;-0.013431;5.369533;0.500015;0.635256;0.364744
0.000540;0.001190;16.099171;-16.100368;0.000053;2.023508;-2.023561;-0.000056;2.309536;0.350486;-0.000006;-0.013305;5.371274;0.500015;0.634165;0.365835
0.000550;0.001213;15.970222;-15.971443;0.000055;2.046564;-2.046618;-0.000057;2.336576;0.354480;-0.000006;-0.013169;5.372995;0.500015;0.633090;0.366910
0.000560;0.001232;15.843327;-15.844563;0.000057;2.069264;-2.069321;-0.000059;2.363200;0.358412;-0.000006;-0.013023;5.374696;0.500015;0.632033;0.367967
0.000570;0.001259;15.718433;-15.719688;0.000059;2.091614;-2.091673;-0.000061;2.389413;0.362283;-0.000006;-0.012867;5.376377;0.500016;0.630992;0.369008
0.000580;0.001274;15.595512;-15.596794;0.000062;2.113620;-2.113681;-0.000062;2.415222;0.366095;-0.000006;-0.012702;5.378039;0.500016;0.629968;0.370032
0.000590;0.001293;15.474537;-15.475842;0.000064;2.135287;-2.135350;-0.000064;2.440633;0.369848;-0.000007;-0.012527;5.379681;0.500016;0.628960;0.371040
0.000600;0.001316;15.355480;-15.356804;0.000066;2.156620;-2.156686;-0.000065;2.465653;0.373543;-0.000007;-0.012343;5.381305;0.500016;0.627968;0.372032
0.000610;0.001335;15.238316;-15.239651;0.000069;2.177624;-2.177693;-0.000066;2.490288;0.377182;-0.000007;-0.012150;5.382910;0.500017;0.626992;0.373008
