time;Va;Vb;Vc;ia;ib;ic;id;iq;Te;theta_r;omega_r;iq_ref;duty_a;duty_b;duty_c
0.000320;-0.000164;26.541882;-26.541706;-0.000000;0.176596;-0.176596;0.000001;0.197853;0.259992;0.000001;0.012347;5.277435;0.499998;0.721182;0.278818
0.000330;-0.000183;26.517433;-26.517250;-0.000000;0.181840;-0.181839;0.000001;0.203916;0.267712;0.000002;0.013090;5.277945;0.499998;0.720978;0.279022
0.000340;-0.000195;26.492802;-26.492596;-0.000000;0.187076;-0.187075;0.000001;0.209970;0.275421;0.000002;0.013855;5.278412;0.499998;0.720773;0.279227
0.000350;-0.000217;26.467972;-26.467758;-0.000000;0.192305;-0.192305;0.000001;0.216016;0.283120;0.000002;0.014641;5.278836;0.499997;0.720566;0.279434
0.000360;-0.000240;26.442959;-26.442738;-0.000000;0.197527;-0.197527;0.000001;0.222055;0.290808;0.000002;0.015448;5.279216;0.499997;0.720357;0.279643
0.000370;-0.000259;26.417763;-26.417515;-0.000001;0.202743;-0.202742;0.000001;0.228085;0.298486;0.000002;0.016277;5.279553;0.499997;0.720147;0.279853
0.000380;-0.000275;26.392380;-26.392105;-0.000001;0.207951;-0.207950;0.000002;0.234107;0.306154;0.000002;0.017127;5.279847;0.499997;0.719935;0.280065
0.000390;-0.000294;26.366817;-26.366516;-0.000001;0.213152;-0.213151;0.000002;0.240120;0.313810;0.000003;0.017998;5.280097;0.499996;0.719722;0.280278
0.000400;-0.000324;26.341053;-26.340740;-0.000001;0.218345;-0.218344;0.000002;0.246126;0.321457;0.000003;0.018891;5.280305;0.499996;0.719507;0.280493
0.000410;-0.000343;26.315113;-26.314770;-0.000001;0.223532;-0.223531;0.000002;0.252123;0.329092;0.000003;0.019805;5.280469;0.499996;0.719291;0.280709
0.000420;-0.000366;26.288986;-26.288620;-0.000001;0.228711;-0.228710;0.000002;0.258112;0.336717;0.000003;0.020740;5.280590;0.499995;0.719073;0.280927
0.000430;-0.000393;26.262680;-26.262283;-0.000001;0.233882;-0.233881;0.000002;0.264092;0.344331;0.000003;0.021696;5.280668;0.499995;0.718854;0.281146
0.000440;-0.000420;26.236187;-26.235764;-0.000001;0.239047;-0.239046;0.000003;0.270064;0.351934;0.000004;0.022673;5.280703;0.499995;0.718633;0.281367
0.000450;-0.000450;26.209507;-26.209057;-0.000001;0.244204;-0.244202;0.000003;0.276027;0.359526;0.000004;0.023671;5.280695;0.499994;0.718411;0.281589
0.000460;-0.000477;26.182644;-26.182159;-0.000001;0.249353;-0.249352;0.000003;0.281981;0.367107;0.000004;0.024690;5.280645;0.499994;0.718187;0.281813
0.000470;-0.000507;26.155602;-26.155087;-0.000001;0.254495;-0.254493;0.000003;0.287927;0.374677;0.000004;0.025731;5.280551;0.499994;0.717961;0.282039
0.000480;-0.000538;26.128380;-26.127831;-0.000001;0.259629;-0.259627;0.000004;0.293864;0.382236;0.000005;0.026792;5.280415;0.499993;0.717734;0.282266
0.000490;-0.000580;26.100971;-26.100399;-0.000002;0.264755;-0.264754;0.000004;0.299793;0.389783;0.000005;0.027874;5.280236;0.499993;0.717506;0.282494
0.000500;-0.000610;26.073380;-26.072773;-0.000002;0.269874;-0.269873;0.000004;0.305712;0.397319;0.000005;0.028977;5.280014;0.499992;0.717276;0.282724
0.000510;-0.000648;26.045620;-26.044971;-0.000002;0.274985;-0.274983;0.000005;0.311623;0.404844;0.000005;0.030101;5.279749;0.499992;0.717044;0.282956
